module,type,name,res_id,src,value,comments
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Fiscal Position Remark:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Invoice Date:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Journal:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Journals:</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Mark the bills to pay</strong><br/>
                                        Group or filter your bills to see those due in the next week, then open each bill individually, click on <strong>'Pay'</strong> and select the payment method you prefer.",,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Next action:</strong><br/>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>On-the-fly payment reconciliation:</strong> automatic suggestions of outstanding payments when creating invoices.,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Or generate payment orders</strong><br/>
                                        Create a Payment Order and select the bills you'd like to pay as Entry lines (only the validated bills will appear).",,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<strong>Partner's:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<strong>Period Length (days)</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Print checks</strong><br/>
                                        From the Vendor Payments list, select those you want to pay and click on Print Check (you may first need to activate the check feature in the",,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Purchases</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Reconcile Bank Statement</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Reconcile with existing transaction</strong><br/>
                                        In this case, Odoo should automatically match the bank statement with the previously recorded check transaction.",,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Reconcile your Bank Statements</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Record Bank Statement (or import file)</strong><br/>
                                        Depending on the volume of your transactions, you should be recording your bank statement every week to several times a day.",,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Record Bank Statement</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Record a payment by check on the Invoice</strong><br/>
                                        Simply click on the 'Pay' button.",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Reduced data entry:</strong> no need to manually create invoices, register bank statements, and send payment follow-ups.",,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Reference:</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Revenue Recognition</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Send follow-up letters</strong>,,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Sorted By:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Source:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<strong>Start Date:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_overdue_document,<strong>Subtotal :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Subtotal</strong>,,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<strong>Target Moves:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_financial,<strong>Target Moves:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Target Moves:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Target Moves:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,<strong>Target Moves:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,<strong>Target Moves:</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Test the following three scenarios in order to assist you in familiarizing yourself with Odoo:</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>There are three different levels of access rights in Odoo:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_overdue_document,<strong>There is nothing due with this customer.</strong>,,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Total</strong>,,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Total</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Validate the bill</strong><br/> after encoding the products and taxes.,,
account,model,"ir.actions.act_window,help",account.action_view_bank_statement_tree,"A Cash Register allows you to manage cash entries in your cash
                journals. This feature provides an easy way to follow up cash
                payments on a daily basis. You can enter the coins that are in
                your cash box, and then post entries when money comes in or
                goes out of the cash box.",,
account,code,addons/account/models/account_invoice.py,1438,A Payment Term should have its last line of type Balance.,,
account,code,addons/account/models/account_invoice.py,1441,A Payment Term should have only one line of type Balance.,,
account,code,addons/account/models/account.py,553,A bank account can only belong to one journal.,,
account,model,"ir.actions.act_window,help",account.action_bank_statement_tree,"A bank statement is a summary of all financial transactions
                occurring over a given period of time on a bank account. You
                should receive this periodicaly from your bank.",,
account,model,"ir.actions.act_window,help",account.action_bank_statement_line,A bank statement line is a financial transaction on a bank account.,,
account,model,"ir.actions.act_window,help",account.action_move_journal_line,"A journal entry consists of several journal items, each of
                which is either a debit or a credit transaction.",,
account,model,"ir.actions.act_window,help",account.action_account_journal_form,"A journal is used to record transactions of all accounting data
                related to the day-to-day business.",,
account,model,"ir.ui.view,arch_db",account.account_planner,A list of common taxes and their rates.,,
account,model,"ir.ui.view,arch_db",account.account_planner,A list of your customer and supplier payment terms.,,
account,model,"ir.ui.view,arch_db",account.account_planner,"A product in Odoo is something you sell or buy 
                        whether or not it is goods, consumables, or services.
                        Choose how you want to create your products:",,
account,code,addons/account/models/account_move.py,770,A reconciliation must involve at least 2 move lines.,,
account,code,addons/account/models/account_bank_statement.py,875,A selected move line was already reconciled.,,
account,code,addons/account/models/account_bank_statement.py,878,A selected move line was already reconciled.,,
account,code,addons/account/models/account_bank_statement.py,886,A selected statement line was already reconciled with an account move.,,
account,code,addons/account/models/account_bank_statement.py,218,A statement cannot be canceled when its lines are reconciled.,,
account,sql_constraint,account.fiscal.position.tax,0,A tax fiscal position could be defined only once time on same taxes.,,
account,code,addons/account/models/account_bank_statement.py,383,A transaction can't have a 0 amount.,,
account,model,"ir.actions.act_window,help",account.action_account_journal_form,"A typical company may use one journal per payment method (cash,
                bank accounts, checks), one purchase journal, one sale journal
                and one for miscellaneous information.",,
account,model,"res.groups,name",account.group_warning_account,A warning can be set on a partner (Account),,
account,code,addons/account/static/src/js/account_reconciliation_widgets.js,98,Account,,openerp-web
account,code,addons/account/static/src/js/account_reconciliation_widgets.js,103,Account,,openerp-web
